,Hotel_Name,City_Name,country_name,Rating,Price/Night,Amenities,Description,Review1,Review2
631,Hotel Siddharth Residency,dehradun,India,3.9,891,"['Free Internet', 'Conference Room', 'Banquet hall', 'Travel Assistance']","1, Darshani Gate Opposite Railway Station, Dehradun - 248001","Good food . Good Service .. Good Staff ..Good location but there is heavy rush in Morning as hotel is in a market place which is near railway station.
Only veg is available in complimentry Breakfast ..!!
over all is good experience .. It's a family hotel .",nice place to stay. location is near railway station . and near to market. food is also very nice.
632,Hotel MJ Grand Inn,dehradun,India,4.4,1851,"['Doctor On Call', 'Free Internet', 'Air Conditioning', 'Conference Room']","19 Rajpur, New No -78 Rajpur Road, Near Payal Cinema Hall, Dehradun - 248001","very good hotel at reasonable price, nice location located at centre of city and happening place Rajpur road....neat and clean rooms, good service....highly recommend to stay for bith business and family travelers",good rooms. food quality also good. very near at Rajpur road. near main market. easy accessibility to reach
633,MJ Residency,dehradun,India,4.2,1852,"['Doctor On Call', 'Free Internet', 'Air Conditioning', 'Indoor Entertainment']","54, Haridwar Road, Adjoining CMI hospital, Dehradun - 248001","Amazing Stay indeed. Stayed for 3 nights. Hotel is a great value for money. Rooms are spacious with all amenities. Room service is prompt and good breakfast. Location is good. I would recommend it for family and business travelers. Keep it up!
Prompt service at reasonable prices. Nice rooms and good food",The Hotel is centrally located. Rooms are good and Food quality is also good but rates are slightly higher. I have stayed here earlier also.
634,Hotel Embassy,dehradun,India,4,754,"['Power backup', 'Restaurant/Coffee Shop', 'Laundry Service', 'Conference Room']","18, Dhamawala, Near Raja Road, Adjoinig Paltan Bazaar, near Dispensary road, Dehradun - 248001",The stay was good. Worth the money. Very good location. Easily accessible. The staff was also very polite and good. Clean rooms and washrooms. They also helped us book an auto at the end moment. The food is also healthy and freshly prepared. Overall it has been a great experience here.,"It's good hotel for solo traveler or friends with value of money. They have good room service, hot water facility, TV, A/c ext. Rooms are clean and hygiene. No complaints.
Staff of the hotel also good and helpful.
Location of the hotel is also quite convenient from the main market and station."
635,HOTEL SUKOON,dehradun,India,4.2,1221,"['Doctor On Call', 'Free Internet', 'Air Conditioning', 'Indoor Entertainment']","Hotel Sukoon, 4 Municipal Road, Dalanwala. Near Drona International School, Opp. Bala Hisar School, Dehradun - 248001","the location was very nice in front Drona international School and what makes it a best place to choose the room size are just like palace. deluxe category rooms are associated with a living room and drawing room consisting of beds at both the places...makes it cozy for even 6 people can stay together. the devices were impressive and staff was also polite.....it's a must visit place..thanks go ibibo for recommending this hotel to me.....bahut sukoon Mila mujhe that made it value for money
it's p ...more","Nice hotel in a prime location, yet out of hustle & bustle of the main road. Staffs are courteous. Food was good. Overall, pleasant stay."
636,Red Fox Hotel Dehradun,dehradun,India,4.5,1969,"['Parking Facility', 'Laundry Service', 'Health-Spa', 'Kitchen']","Red Fox Hotel, Dehradun 973/4/113, Rajpur Road, Dehradun,248001","perfect stay.. perfect food.. comfort.. good service and staff.
clean, cosy comfortable stay with awesome food.","In this costing i don't think anyone get better then this.
This Hotel is so caring about their customers that they have started checking for virus symptoms by using instruments, so that if they will found any person of this virus symptom, hotel will not allow the person to stay in it, which is one of the best decision to cure from virus.
Secondly all Hotel staff members are wearing masks & santized hands all the time. They already have plenty of Hand Sanitizers for their staff members & cust ...more"
637,Hotel Park View Premium,dehradun,India,4.2,1627,"['Doctor On Call', 'Free Internet', 'Banquet hall', 'Laundry Service']","17, Rajpur Road,Opposite Gandhi Park , Payal Cinema Lane, Dehradun 0135-2712087 - 248001","Nice experience
1. clean rooms
2. cooperative staff
3. good Roof top restaurant
4. Neatly maintained property
Good location and well connected
Nearby shopping area
Reasonably good breakfast
Good connectivity",Excellent hotel for stay and food quality also good. Specially roof top restaurants. Hotels staff are very polite and helpful
638,The Solitaire,dehradun,India,4.2,3071,"['Air Conditioning', 'Business Services', 'Restaurant/Coffee Shop', 'Laundry Service']",Haridwar By-Pass Road Near Mahindra Show Room Ajabpur Kalan Dehradun-248001,excellent stay nice veg food nice location nice staff,"great experience 👍 some is big in sizes
Food quality is very Good at reasonable rate
one of best hotel to stay"
639,Hotel Amar Heights,dehradun,India,4.4,1536,"['Parking Facility', 'Conference Room', 'Outdoor Activities', 'Banquet hall']","9/4/2, Chander Nagar road, Dehradun - 248001",nice location. good food quality. room service is very good.,"please see below detail review of hotel:-
1.Hotel location is very good , near from dehradun railway station, public transport is easily approachable.
2.Hotel room is spacious, toilet and bathroom is clean.
3. tv and set top box available and it is in working condition .
4. staff is helpful.
5. restaurant is also good but had little incident dinner food was not up to best quality apart from this it is good.
6. reception staff reachable all time
cleanliness, location and spacious room."
640,The Solitaire Express,dehradun,India,4,2075,"['Free Internet', 'Conference Room', 'Banquet hall', 'Travel Assistance']","55 Rajpur Road, Dehradun. opp st Joseph Academy - 248001",Good hotel. Good location. The service is also good. There were a few problems with the WIFI connections and hot water supply - otherwise the amenities were fine.,"Hotel is Neat & Clean.Location is very good.
Food is tasty.Staff is very Co-operative.
Overall it's a comfortable stay and my 4 stars for Hotel Solitaire Express."
641,Rishikesh Grand,rishikesh,India,3.8,1942,"['Free Internet', 'Swimming Pool', 'Conference Room', 'Outdoor Activities']","HOTEL Rishikesh GRAND, BADRINATH ROAD, TAPOVAN, Rishikesh 249192, 8800158643 - 249201",superior hotel in Rishikesh .. meet Mr. Sonu Sharma very cooperative staff as friendly person in hotel . food is very tasty 👌.,"Hotel & location was good.
Service was a bit slow, cleanliness was an issue.
Rooms were not cleaned before checkin.
No newspaper delivered in the room ( as it was mentioned)
Food was delicious but being complimentary there was a cap.. overall experience was good 👍🏻👍🏻"
642,Aloha on the Ganges By Leisure Hotels,rishikesh,India,4.5,5428,"['Free Internet', 'Air Conditioning', 'Swimming Pool', 'Indoor Entertainment']","Aloha on the Ganges, Rishikesh National Highway 58, Tapovan, Rishikesh, 249192 - 249201","What a lovely place!
Great location, really pleasant and clean rooms, but the thing that makes this such a good place to stay are the staff. All of the people are incredibly cordial and helpful.",The hotel was extremely comfortable.The staff is very courteous and helpful. The inhouse activities keep you occupied. Special feature was the Evening Aarti done overlooking the ganges...Wonderful experience..Highly recommended....
643,Bhandari Swiss Cottage,rishikesh,India,3.7,346,"['Power backup', 'Laundry Service', 'CCTV surveillance', 'Room Service']","High bank, By Pass Road Tapovan, Rishikesh, Tehri - Garhwal - 249192 - INDIA",This property maintains it's originality as an ideal place for families and backpackers. It has great view of nature with Ganges and greenery. Rooms are very spacious with all required amenities and prices are at budget level. They have ample parking and deli shops and restaurants in neghborhood.,"Amazing hospitality, extremely good and hygienic food at reasonable price. 10 rotis and 2 gravies for 600 bucks. Clean huge bathroom and good bed room with a queen size bed. Decent room for hanging clothes and shelf was also there inside the room. There are a lot of other services available inside the hotel like travel agency for outstation cars and bike rental for local travel. Auto is available just outside on the main road to go the local places. Auto drivers charged us 100 bucks for going to ...more"
644,goStops Rishikesh,rishikesh,India,4.1,384,"['Power backup', 'Restaurant/Coffee Shop', 'Laundry Service', 'Indoor Entertainment']","Badrinath Road, Tapovan, Rishikesh, Uttarakhand - 249137","With all due respect and kindness I reach out to you only to share and hope you rectify the failings of your property here at Rishikesh. That biggest failure being the lack of hospitality itself.
in the photographs attached are not to pin point what went wrong but rather I believe you haven't audited this room or property in a while or ever. The GoStops Rishikesh is pathetic without out any more words to say. We as guests are duped with a fabulous .. Having worked and a sense of genuine passion ...more","The place is vibrant and you would love the place as you enter inside. It's conveniently located as you can get public transport for nearby places.
The room is small but is perfect for people who wants to save some money and still wants to get the best of the experience.
This hotel should easily get a 4 rating but while we were sleeping, somehow rain water entered our room even though all the windows were closed and our luggage got wet.
The top floor of the hostel has few games like p ...more"
645,Namami Ganges,rishikesh,India,4,4991,"['Doctor On Call', 'Free Internet', 'Air Conditioning', 'Swimming Pool']","NAMAMI GANGES , Village - Patti Dogi , Tehsil - Narendranagar , District - Tehri Garhwal , Shivpuri, Rishikesh - 249192",Excellent Location & service,It was amazing exp staying in this hotel. Amazing staff with really nice location and well mentained hotel...i will suggest my family and friends to saty there... the river side property give u feel of mini goa
646,Hashtag Hostel,rishikesh,India,4.4,150,"['Power backup', 'Restaurant/Coffee Shop', 'Laundry Service', 'CCTV surveillance']","Yoga Street, Tapovan, Rishikesh, Tehri Garhwal, Near Badrish Hotel - 249137","A very nice Hostel located in Badrinath Road, Tapovan, Rishikesh, about 900 m from Laxman Jhula and 700 m from shared jeep/auto stand. The hostel has parking facility, restaurant, car, cycle and bike rent service, adventure activities, etc. The dormitory room and beds were cleaned and quite good. Bed was very comfortable and blanket/comforter was provided. Water purifier is there in the room. One added advantage is there are 2 bathrooms in the 10 bed mixed dormitory. Bathrooms have geysers and  ...more",location is good! the room was also nice just the service was bit slow maybe due to holi. overall it was a good experience. I would love to visit hashtag again!
647,Yog Niketan By Sanskriti,rishikesh,India,4.4,2446,"['Doctor On Call', 'Free Internet', 'Air Conditioning', 'Conference Room']",Old Badrinath road 100 Before Ramjhula Auto stand on Right hand side. Rishikesh 249201,This place is right on the banks of river Ganga within walking distance of Ram Jhula taxi parking with Parmarth Niketan being on exact opposite side of the river. You get a good view of Ram Jhula from their connected staircase that leads to the river bank. Our room was spacious with clean linen and bathroom. They have a restaurant downstairs and their complimentary buffet breakfast was tasty and wholesome. They also provide complimentary Yoga class in the mornings which we couldnt attend. Overal ...more,"We stayed at yog niketan by sanskriti in December of 2019
Location is excellent, by the river side, our river view room had just water and hills and view of the Parmarth Ashram
Parking is available and the Place is easily accessible.
the food was good and best part about the breakfast was the freshly made fruit juice, that we do not find commonly in most hotels!
staff was courteous and well mannered.
Ambience of the hotel was nice, with. Yoga room and small library well done, the linen used w ...more"
648,Hotel Indira Nikunj,rishikesh,India,4.4,1676,"['Free Internet', 'Conference Room', 'Outdoor Activities', 'Travel Assistance']","Sheesham Jhari, Lane No. 40, Muni Ke Rati, Rishikesh - 249137","osam hotel, amazing view from room and near to Ganga river. friendly staff.","Food is expensive ,there is no room heaters in winter time, other issues are good"
649,Blue Jay Hostel,rishikesh,India,4.6,818,"['Doctor On Call', 'Power backup', 'Laundry Service', 'CCTV surveillance']","Blue Jay Hostels, Opposite Ayur Park, Near SBI Bank, Jonk, Badrinath Road, Tapovan, Rishikesh - 249201","Great Experience!! Clean rooms, washrooms! Polite and Helpful staff! Good food, Good view! Simply perfect!!!","The hostel is amazing
It has everything you need to spend your weekend..
The common room is lit so is the cafeteria
The staff is very polite and friendly"
650,Hotel Ganesha Inn,rishikesh,India,4.4,2032,"['Doctor On Call', 'Free Internet', 'Air Conditioning', 'Indoor Entertainment']","Lakshman Jhula Road,Tapovan, Rishikesh - 249192","Excellent staff, homely fresh prepared food.
Very good location accessible to Lakshman khula, Ramjhula and pick up point for Neelkant temple",Good stay!
651,Elation Guest House,ranikhet,India,4.6,1644,"['Laundry Service', 'Free Internet', 'Power backup', 'Indoor Entertainment']","NEAR BEERSHIVA SCHOOL,( Haidakhan Babaji temple) CHILIYANAULA, Ranikhet, - 263645",Quiet and amazing stay with good service and good guide to visit places,"It was a nice experience, very neat & clean rooms, owner were very caring and served home made tasty food, and he is very helping for everything, I felt that I am staying with my family, everyone should have a experience of ELATION GUEST HOUSE :)"
652,"Hotel Chevron Rosemount, Ranikhet",ranikhet,India,4.3,4499,"['Indoor Entertainment', 'Outdoor Activities', 'Laundry Service', 'Dining']","The Mall, Ranikhet - 263645","Stayed recently on our visit to Nainital Almora Ranikhet - 7/12/19
Last minutes booking en route from Kausani to Ranikhet. With Google maps help we forwarded but just before 1.5 km network lost & there are no signboard due to Cantonment area it's 7:30 and Ranikhet Mall Road is very different from other hill stations means quite no traffic or market. We return back 200 mtr ask someone and again proceed to hotel.At last find out the place. Surprisingly no one is there at front desk & staff availa ...more","A very nice place amidst the greens of Ranikhet. Calm and Serene. It is an old heritage bungalow converted to resort.
Only issue I had is they arranged for a private bon-fire for someone. Since it is a small place which can't have multiple bonfires, I'd have expected a single event for all the guests (could have been opt-in with nominal payment) not something like a private event which others are not allowed (but definitely get the disturbance free as music would be heard in your room)"
653,Woodsvilla Resort,ranikhet,India,4.2,5148,"['Doctor On Call', 'Indoor Entertainment', 'Conference Room', 'Outdoor Activities']","Majkhali, On main Ranikhet - Almora Road, Ranikhet - 263652","Nice resort...easy to locate
mountain facing
Nice food
good service
parking is some issue bcoz of high slant
otherwise all good ,,;)","Nice Stay
1.Good Balcony near Restaurants
2. Nice view from rooms with attached Balcony
3. Spacious rooms
4. children activity area is good with lot of toys
5. separate session for children games in evening
6. Staff service is good
7.need to improve speed of fans in rooms as speed regulators are not their"
654,Holm Farm Heritage,ranikhet,India,4.5,3501,"['Power backup', 'Parking Facility', 'Restaurant/Coffee Shop', 'Outdoor Activities']","Near Hydel Colony, Distt Almora, Ranikhet - 263645",A great place if you are seeking solitude and forest,"Amazing location.
Nice staff.
Great food."
655,"Himalayan Eco Lodges, Ranikhet",ranikhet,India,4.7,2573,"['Outdoor Activities', 'Travel Assistance', 'Dining', 'Spa']","Village Riyuni, P.O. Majkhali, Tehsil - Ranikhet, - 263652",excellent place to stay......food is very good....staff behavior is excellent.....location is amazing.....want to stay back in the hotel in future....,"Enjoyed our stay at himalayan eco lodges. Excellent staff, they provide welcome drink and food was awesome."
656,Roseville Cottage,ranikhet,India,4.7,2566,"['Doctor On Call', 'Laundry Service', 'Parking Facility', 'Room Service']","Digoti Colony, Post - Majkhali -Ranikhet, 263652 Distt Almora",It was a great experience and the cottages were very good. Enjoyed the hospitality very much and services was up to the standard. Value for money property. They also provided free WiFi. However it is located in Majkhali nearby to ranikhet.,"Location was difficult to find,as it located in the outer area.Staffs & services were very good & helpful and the cleanliness was also up to the mark.Overall it was a comfortable stay and had a very good experience."
657,Ranikhet Inn,ranikhet,India,3.6,1475,"['Power backup', 'Laundry Service', 'Smoking Rooms Available', 'Room Service']","Gandhi Chowk, Near SBI, Mall Road, Ranikhet - 263645","nice hotel, but no restaurant, view is very nice but rooms are not so tidy, location is very good rooms are also good.",limited rooms but clean and with good service food was good
658,Xomotel- Ranikhet Heights,ranikhet,India,3.4,2540,"['Indoor Entertainment', 'Conference Room', 'Outdoor Activities', 'Laundry Service']","Chilianaula, Birla Boys School Road, Ranikhet - 263645","nice property. Well groomed and ever helpful staff, especially Shri Adhikari. Two ways to reach the hotel, first, via proper road, but you need to climb some 50-60 stairs. Second, if you drive on a muddy track up the hill (somewhat off-road, not suitable for low ground clearance cars. Nice veg only food is served. Food feels home-cooked.","nice property. Well groomed and ever helpful staff, especially Shri Adhikari. Two ways to reach the hotel, first, via proper road, but you need to climb some 50-60 stairs. Second, if you drive on a muddy track up the hill (somewhat off-road, not suitable for low ground clearance cars. Nice veg only food is served. Food feels home-cooked."
659,Camp Bliss,ranikhet,India,3.2,1980,"['Dining', 'Power backup', 'Outdoor Activities', 'Room Service']","Nainital road, near post office, Ranikhet - 263645",Nice place to spend vacation lonely since the place is secluded from the Ranikhet market place and it would burn out your pocket if you desire to move around Ranikhet . Ideal place if one is in search of seclusion from worldly tides. Disruptive internet and mobile connection. No facility of Television in Camps. The services of the people in charge of the camp place was good enough. No officer or agent of the camp bliss was available though it is not a complaint just information. Place is not ...more,"Good place, very good location. Service is also good and food is delicious. Only minus point is no network coverage and no wifi. No tv in room also. For some people these points are not valid however for family with kid I think these points are valid. Ideal location for groups however for single family tv or wifi should be there."
660,Chevron Ranikhet Club,ranikhet,India,3.3,3298,"['Doctor On Call', 'CCTV surveillance', 'Free Internet']","The Mall, Ranikhet , Opposite Military Hospital - 263645",Poor rooms in the name of Deluxe category...... Total of 4 rooms in whole club actually meant for club members. .... whatever committed at the time of booking was not served and nobody had the courtesy to ask any help required for luggage or not..... room landline was not working ... you have to go to reception again and again to request to make it working and for whatever you required...... reception staff was poor... no smile no welcome like you are unwanted guests came in..... I had to argue  ...more,Poor rooms in the name of Deluxe category...... Total of 4 rooms in whole club actually meant for club members. .... whatever committed at the time of booking was not served and nobody had the courtesy to ask any help required for luggage or not.....
661,kasar himalaya holiday home,almora,India,4.3,3420,"['Power backup', 'Restaurant/Coffee Shop', 'Outdoor Activities', 'Room Service']","Building 98, kasar himalaya holiday home, Kathpuriya kasar devi binsar road, Almora, Baba Cake, Almora, 263601",very good.,"The property is full of nature's picturesque surrounding of it, lush green forest view right from your hotel room would complete dissolve anyone into the himalayan range of Indian high altitude peaks i.e Nanda Devi, Trishul etc. My overall stay was truly a fine experience, something which I will miss alot is the spectacular food of the this particular hotel. The staff is also very composed and warm welcoming. This place is definitely deserve full score in the form of ratings.
Trekking to nearby villages along with some wonderful and friendly loving dogs."
662,Hotel Milam Inn,almora,India,3.9,1707,"['Free Internet', 'Conference Room', 'Banquet hall', 'Travel Assistance']","Hotel Milam Inn : Upper Link Road Near GGIC school taxi stand Almora, Uttarakhand - 263601","Food is great, stay is great, staff is helpful but they don't cooperate on small issues","Had a great experience staying here with family, very close to Mall road & market. Staff behavior was really nice & welcoming, special thanks to Mr. Abhinav - GM for all his advice & tips for local sight seeing and making our stay more comfortable. Rooms were clean & spacious and had nice outside valley view. Hotel has own parking space. Had overall nice stay and will recommend to all."
663,Shivalik River Retreat,almora,India,4,1220,"['Conference Room', 'Outdoor Activities', 'Banquet hall', 'Travel Assistance']","Kausani Road, River Point, Kosi, Almora, NH-109 - 263601","Hotel staff was very cooperative and helpful. Rooms were clean and all the arrangements were proper. View from the hotel was amazing. Kosi river behind the hotel added stars to the stay at hotel. Only disadvantage of staying at hotel was it's around 10 km away from the Almora. If you want a peaceful stay, away from the hustle of everything then this is the perfect place. Food quality was okay type, it can be improved.","cool and calm stay with pleasent weather, neat n clean rooms, well mannered staff, delicious food quality, excellent amenities with nature arms. hotel is superb."
664,Hotel Aeradyo Inn,almora,India,4.2,1275,"['Indoor Entertainment', 'Parking Facility', 'Conference Room', 'Banquet hall']","Near Gas Godam, Laxmeshwar, Mall Road, Almora, Uttarakhand - 263601",This hotel is a new property. It was clean n we got an upgraded room. Hotel was totally empty may be due to off season. Staffs were good. It has potential of being a good classy hotel. Food was good in patches n location was also average n little far from main market. Overall experience was good.,Nice hotel. Very neat and clean. Staffs are very cordial and co-operative. Good location.
665,Rudra Himalayan Retreat,almora,India,4.2,1138,"['Restaurant/Coffee Shop', 'Smoking Rooms Available', 'Indoor Entertainment', 'Outdoor Activities']","Binsar Road, Near Kasaar Devi Temple, Almora, 263601","Attractive location along with good facilities, behavior of staff is very cooperative, recommended for peaceful stay.",very poor. too bad..
666,OYO 30141 Adarsh Hotel And Restaurant,almora,India,4.7,837,"['Indoor Entertainment', 'Dining', 'CCTV surveillance', 'Room Service']","na, kosi market, Almora - 263643",Review not found,Review not found
667,Ganga Homestay,almora,India,5,4298,"['Free Internet', 'Power backup', 'Room Service', 'Kitchen']","Kasardevi, Near Kasar Devi Temple, PO Dinapaani, Opposite New Dolma Restaurant, Almora, 263601",Review not found,Review not found
668,V Resorts Om Boutique Stays Almora,almora,India,Rating not found,1140,"['Doctor On Call', 'Restaurant/Coffee Shop', 'Indoor Entertainment', 'Outdoor Activities']","Someshwar-Ranikhet-Almora Road Hawalbhag, Dhanoli, 263636",Review not found,Review not found
669,Turiya Niwas,almora,India,Rating not found,3408,"['Doctor On Call', 'Parking Facility', 'Outdoor Activities', 'Room Service']","Almora-Bageshwar Road Kasardevi, 263601 Almora, India",Review not found,Review not found
670,Madan Cottage,almora,India,Rating not found,2161,"['Room Service', 'Kitchen']","Post office Dinapani, Almora, Near Kasar Devi Temple, 263601",Review not found,Review not found
671,Ojaswi Himalayan Resort at Shitla Mukteshwar,mukteshwar,India,4.6,3984,"['Doctor On Call', 'Free Internet', 'Air Conditioning', 'Indoor Entertainment']","Village-Shitla, Mukteshwar, Nainital, Uttarakhand - 263138",very good stay comfortable and cozy rooms great food and locale,The hotel is beautiful and has great views. The staff is very courteous and helpful. The trek from the hotel to mukteshwar Dham should be tried and beautiful trek.
672,Lord Krishna Himalayan Hotel and Restaurant,mukteshwar,India,4.8,1547,"['Doctor On Call', 'Power backup', 'Parking Facility', 'Business Services']","Bhatelia, Nainital-Mukteshwar Road, Mukteshwar, nainital - 263138","Hotel is good. Nice sceneric view outside the room. food is also very good. very co operative staff.
I recommend this hotel.",". very co operative staff.
I recommend this hotel."
673,The Moksh Eco Inn,mukteshwar,India,4.1,3807,"['Free Internet', 'Air Conditioning', 'Outdoor Activities', 'CCTV surveillance']","Sasbani, Bhatelia Letibunga, Mukteshwar, Distt : Nainital Uttarakhand - 263132",It was a wonderful stay for us. This property provides you exactly what you expect from a good hotel. The property is beautiful and well maintained. The manager is very well behaved and helping. Also i would like to mention about the food. The quantity and quality of food was on point. You can stay here hassle free and can enjoy the lovely scenic view as all rooms have a separate balcony to them. Location is also good enough to get in touch with other famous points like Chauli ki jali and Mukteshwar temple etc. Overall it was a wonderful stay for me.,There is nothing to comment on resort property and their services . They are very good at their services . Here peace is outstanding best for yoga & nature lovers.
674,Hotel Aravali,mukteshwar,India,4.5,2141,"['Doctor On Call', 'Power backup', 'Restaurant/Coffee Shop', 'CCTV surveillance']","Hydel Road, Sargakhet Village, 3 kms before Mukteshwar 100 metres from Bhatelia Mukteshwar Road - 263138","The stay was good. Puri-bhaji served in breakfast was very tasty. 5/5 for breakfast. Overall I will give 4/5 star for rooms, services, and facility of the hotel.",The owner was looking after each and everything. Great hospitality. Cooperative staff. Rooms were nice. An excellent stay.
675,Dyo- The Organic Village Resort,mukteshwar,India,4.1,6609,"['Air Conditioning', 'Parking Facility', 'Outdoor Activities', 'Laundry Service']","Amravati Estate, Bhatelia Mukteshwar Road, Mukteshwar, Distt. Nainital, India - 263132",This is the nice place to plan you holidays.,"Very pleasant resort to stay in, quality room with good service, food was nice and other facility were fine. Location was convenient but it was far from the main town."
676,Resort PailaaaG Orchard,mukteshwar,India,4.4,1567,"['Doctor On Call', 'Power backup', 'Restaurant/Coffee Shop', 'Indoor Entertainment']","satbunga, Mukteshwar, Nainital, 263132","it Was Really A Nice Experience To Stay Here..If You Want Peace & Live In Nature ,Then This Resort Is For You..Nice Staff , Clean Rooms. Surrounding Is So Beautiful..Food Is Also Bery Testy..",Service provided by the staff of the hotel was good. Room was fine. Location was good & surrounding area was clean. Amenities were working. Clean and hygienic hotel. Happy with the accommodation cost.
677,Panchachuli House,mukteshwar,India,4.3,1915,"['Power backup', 'Parking Facility', 'Outdoor Activities', 'Room Service']","Batalia Mukteshwar Road, PANCHACHULI HOUSE,BHATALI MUKT.RD,GAHANA patti, district - nainital, SARGAKHET - 263137",Cleanliness is required because washrooms were not that clean. Rooms were good. Service was nice.,All good. A decent homestay. Service staff was cooperative and humble.
678,Hotel Robinsson Palace,mukteshwar,India,4,2794,"['Doctor On Call', 'Free Internet', 'Indoor Entertainment', 'Airport Transfer (on Demand)']","satkhol sitla,p.o.peora,Mukteshwar - 263138","The location was good, but the amenities at the hotel was average...","very good hotel for family to stay with
Their staff are very good and assisting.."
679,Indus Valley,mukteshwar,India,5,2978,"['Restaurant/Coffee Shop', 'Laundry Service', 'Outdoor Activities', 'Room Service']","Indus Valley, Sunderkhal, Nainital, Uttarakhand, Mukteshwar - 263132","it was awesome experience staying at Indus valley. we really enjoyed a lot.
this place is so peaceful so quite.
only one issue which is faaaaar from Delhi and on very top.
but once u reach you gonna forget ur travel pain n get mesmerise with the beauty of this cottage.
simple food and beautyful location.
just don't go with the motive of travel around searching for places. just b inside cottage and explore Indus valley for minimum 2days you will definitely find Moksh there 😊",Review not found
680,"Leela Orchard, Sonapani",mukteshwar,India,5,5838,"['Power backup', 'Parking Facility', 'CCTV surveillance', 'Indoor Entertainment']","sonapani, Mukteshwar,Mukteshwar, Nainital, Uttarakhand - 263138",If you love nature then this is the place.. Pollution free nature..,"near to nature, neat and clean rooms,home made food."
681,Regenta Orkos- Royal Orchid Hotels,haridwar,India,4.1,1538,"['Doctor On Call', 'Free Internet', 'Air Conditioning', 'Indoor Entertainment']","Haridwar Rishikesh Highway,Haripur Kalan Motichur - 249401","good and neat place , location is central , the property is nice with friendly staff and good food, it's worth the money spent on it.",", it's worth the money spent on it."
682,Hotel La Casa,haridwar,India,4.1,841,"['Doctor On Call', 'Free Internet', 'Travel Assistance', 'Laundry Service']","Opposite Gurudwara, Off Station-to-Har-ki Pauri Road, Laltarao Bridge, Bilkeshwar Road, Haridwar - 249401","My stay at Hotel La Casa is good. There are few likes and dislike. let's just start with the good things, First of all room is very beautiful very spacious, bed is very cozy & comfortable, fresh clean sheets and towels. Food is very good, fast room service, very supportive and friendly staff, good location around 1.5 km from Bus stand and Railway station and almost same distance from Har ki Pauri and both side are walkable. Washroom is clean but small in size which I notice in so many hotels I  ...more","Its was very nice experience. The staff is very good. The stay was good. Good location at the mod points of railway station and har ki pauri.(walking distance). The wi-fi was extremely good.( i have never experienced such great wi-fi in any hotel across india)
Cozy rooms. Lift service. Delixe room hai additional space than only for seating. Colorful rooms and galary."
683,Alpana Hotel,haridwar,India,4.1,1243,"['Free Internet', 'Laundry Service', 'CCTV surveillance', 'Daily housekeeping']","43-44, Ram Ghat, Haridwar - 249401","The hotel was value for money overall and the location was perfect. Har ki paudi is at walking distance. And you will cab or bus transport dealers very near to the hotel. Also, the auto stand is at walking distance. As the hotel is in the main market you never have to worry about the food. Just go out and enjoy the local food of North India.
But, there is one thing I didn't like was the hot water in the bathroom. We travelled in the first week of December and the hotel could not able to provide hot water for bathing. Overall it the only 3 star hotel near had ki paudi, so do try this property.","This was nice Hotel, location of hotel was very good. Har ki pauri was just walking distance of 10min, Mansa Devi Temple Ropeway was just 5 min and Haridwar railway station and bus stand just 10min by Rikshaw. Hotel was in the middle of market, Restaurant and many eateries were near by.
Hotel staff was also cooperative and good. I didn't face any problems during check in and check out.
Hotel Alpana is nice Hotel in reasonable price."
684,Hotel Trishul,haridwar,India,3.5,444,"['Doctor On Call', 'Power backup', 'Clean Room', 'Parking Facility']","Near Laltarao Bridge, Railway Road, Near Birla Ghat, Haridwar - 249401","bad experience with this hotel, poor service, poor Rooms as well as washroom.", as well as washroom.
685,The Haveli Hari Ganga By Leisure Hotels,haridwar,India,4.6,6263,"['Doctor On Call', 'Air Conditioning', 'Outdoor Activities', 'Travel Assistance']","Pilibhit House, 21 Ramghat, Haridwar - 249401",Excellent stay. Very good food. Just like home cooked food. Nice & courteous service. Navneet & Kavita are very helpful and understanding. The best view of Ganges is here. Private ghat was very helpful. An escorted darshan to the evening aarti was a VIP one. Overall we were very happy.,Nice property with own private ghat. Enjoyed the stay.
686,Hotel Grey Castle by Perfect Stayz,haridwar,India,4.1,493,"['Doctor On Call', 'Free Internet', 'Air Conditioning', 'Indoor Entertainment']","Shivmurti Lane , Near Har ki Pauri Walking distance - 10 minutes., Haridwar - 249401","pleasant stay, hotel staff well trained and quick. clean linen, room and washroom. hotel is good for family , couples and even safe for female travellers. i would like to mention mr Jeet Singh ji, very helpful person, he guided us well for our Haridwar and Rishikesh sightseeing. thanx for making our stay cool. i wl recommend this hotel","BEST DEAL IN HARIDWAR
Hotel was just 2 mins walk from railway station with clear signage just out side the market. also haripauri is 10 mins away from hotel...very convenient.
Best part is Rooms are very neat and clean. we got the same room. staff was very helpful."
687,Swagat Inn,haridwar,India,3.9,1138,"['Doctor On Call', 'Free Internet', 'Air Conditioning', 'Indoor Entertainment']","Near Shankracharya Chowk,Delhi-Haridwar Bypass, Haridwar. 5 Mins drive to Har Ki Pauri - 249408","clean room,awesome taste of food,loaction is between har ki pauri and railway station, polite staff and fast service.clean towels.it was good experience
polite staff,room service was good and healthy and tasty food","Our stay was good but hotel is slightly far from Ganga ghat and main market. Rooms are small but comfortable with 24*7 hot water. Hotel staff is helpful and food is good.
Good."
